Temps,Amplitude
23583,256
23783,238
23983,1378
24183,213
24383,99
24583,688
24783,235
24983,88
25183,1143
25383,510
25583,649
25783,206
25983,179
26183,867
26383,79
26583,353
26783,440
26983,245
27183,463
27383,1185
27583,232
27783,1000
27983,2246
28183,777
61583,271
61783,21
61983,662
62183,38
62383,456
62583,263
62783,115
62983,1046
63183,213
63383,853
63583,774
63783,359
63983,56
64183,197
64383,638
64583,343
64783,709
64983,64
65183,246
65383,133
65583,519
65783,402
65983,228
66183,1103
66383,306
66583,162
66783,135
66983,268
67183,622
67383,45
67583,370
67783,174
67983,271
68183,112
68383,25
68583,237
68783,751
68983,905
69183,588
69383,72
69583,97
69783,538
69983,1086
70183,334
70383,37
70583,9
70783,181
70983,443
71183,265
71383,111
71583,164
71783,347
71983,403
72183,1315
72383,599
72583,605
72783,126
72983,5525
73183,3183
73383,1360
73583,1428
73783,1389
73983,292
74183,207
74383,606
74583,69
74783,59
74983,254
75183,428
75383,361
75583,549
75783,878
75983,2198
76183,383
76383,342
76583,172
76783,307
76983,660
77183,1409
77383,124
77583,505
77783,1220
77983,501
78183,1686
78383,3504
78583,706
78783,749
78983,4991
79183,1458
79383,1018
79583,489
79783,954
79983,7842
80183,2152
80383,1586
80583,1897
80783,1155
80983,3094
81183,1199
81383,2198
81583,1434
81783,675
81983,3161
82183,1629
82383,351
82583,887
82783,1365
82983,4344
83183,665
83383,3005
83583,1164
83783,402
83983,6162
84183,83
84383,1880
84583,2449
84783,987
84983,1359
85183,2223
85383,936
85583,2779
85783,874
85983,97
86183,733
86383,408
86583,1763
86783,514
86983,902
87183,484
87383,2810
87583,949
87783,1264
87983,3433
88183,1276
88383,2814
88583,3614
88783,1326
88983,933
89183,1522
89383,1226
89583,2585
89783,3324
89983,6626
90183,4129
90383,3571
90583,3287
90783,858
90983,5709
91183,319
91383,6263
91583,220
91783,2321
91983,4698
92183,289
92383,2850
92583,3692
92783,1325
92983,5991
93183,1384
93383,3493
93583,1637
93783,789
93983,352
94183,543
94383,108
94583,678
94783,529
94983,663
95183,1957
95383,713
95583,1746
95783,316
95983,306
96183,121
96383,504
96583,733
96783,973
96983,69
97183,507
97383,199
97583,694
97783,381
97983,482
98183,328
98383,125
98583,81
98783,1288
98983,1174
99183,207
99383,103
99583,80
99783,140
99983,26
100183,546
100383,429
100583,280
100783,588
100983,584
101183,387
101383,690
101583,665
101783,209
101983,339
102183,573
102383,886
102583,533
102783,439
102983,166
103183,46
103383,66
103583,139
103783,178
103983,78
104183,840
104383,922
104583,346
104783,514
104983,605
105183,515
105383,111
105583,311
105783,11
105983,484
106183,192
106383,82
106583,346
106783,1035
106983,492
107183,819
107383,943
107583,249
107783,55
107983,24
108183,391
108383,521
108583,465
108783,312
108983,591
109183,1505
109383,1128
109583,983
109783,345
109983,2720
110183,960
110383,990
110583,561
110783,1330
110984,565
111184,140
111384,2758
111584,529
111784,544
111984,775
112184,912
112384,2187
112584,190
112784,488
112984,1099
113184,278
113384,335
113584,885
113784,94
113984,118
114184,322
114384,242
114584,16
114784,920
114984,237
115184,325
115384,582
115584,427
115784,812
115984,319
116184,247
116384,208
116584,1192
116784,118
116984,15
117184,949
117384,269
117584,10
117784,346
117984,77
118184,112
118384,289
118584,254
118784,86
118984,530
119184,388
119384,91
119584,153
119784,300
119984,310
120184,21
120384,177
120584,356
120784,591
120984,496
121184,140
121384,212
121584,525
121784,1759
121984,425
122184,435
122384,305
122584,624
122784,485
122984,321
123184,272
123384,565
123584,130
123784,474
123984,5
124184,435
124384,107
124584,84
124784,371
124984,1630
125184,248
125384,561
125584,632
125784,687
125984,616
126184,385
126384,698
126584,821
126784,1435
126984,1131
127184,217
127384,1035
127584,2536
127784,617
127984,2874
128184,2431
128384,107
128584,150
128784,419
128984,1213
129184,687
129384,543
129584,431
129784,634
129984,838
130184,336
130384,851
130584,1728
130784,1510
130984,59
131184,1713
131384,2306
131584,652
