Timestamp,VX,VY,VZ,ADX,ADY,ADZ,TEMP,DX,DY,DZ,HZX,HZY,HZZ
10714,0,0,0,0,0,0,22.91,4,5,9,9,7,7
10862,0,0,0,0,0,0,22.98,4,5,7,9,7,7
10923,0,0,0,0,0,0,22.79,4,8,9,9,7,7
11267,0,0,0,0,0,0,22.85,1,5,1,9,7,7
11327,0,0,0,0,0,0,22.79,2,9,3,9,7,7
11477,0,0,0,0,0,0,22.79,1,6,2,6,6,6
11522,0,0,0,0,0,0,22.66,1,1,3,6,6,6
11672,0,0,0,0,0,0,22.85,0,4,0,6,6,6
11732,0,0,0,0,0,0,22.98,2,4,3,6,6,6
11882,0,0,0,0,0,0,22.98,0,1,1,6,6,6
11927,0,0,0,0,0,0,22.79,1,5,4,6,6,6
12049,0,0,0,0,0,0,22.91,4,9,8,6,6,6
12122,0,0,1,0,0,0,22.79,5,6,13,6,6,6
12287,0,0,0,0,0,0,22.85,6,5,15,6,6,6
12332,0,0,1,0,0,0,22.98,2,6,5,6,6,6
12452,0,0,1,0,0,0,22.98,6,3,14,9,6,6
12527,0,0,0,0,0,0,22.66,5,2,11,9,6,6
12647,0,0,0,0,0,0,23.10,1,5,4,9,6,6
12737,0,0,0,0,0,0,22.79,2,6,2,9,6,6
12857,0,0,0,0,0,0,22.85,1,7,2,9,6,6
12932,0,0,0,0,0,0,22.79,4,2,9,9,6,6
13052,0,0,0,0,0,0,23.10,1,3,4,9,6,6
13142,0,0,0,0,0,0,22.85,2,5,4,9,6,6
13337,0,0,0,0,0,0,22.98,0,1,4,9,6,6
13457,0,0,0,0,0,0,22.79,2,1,2,8,7,6
13547,0,0,0,0,0,0,22.85,1,4,1,8,7,6
13667,0,0,0,0,0,0,22.98,0,4,1,8,7,6
13742,0,0,0,0,0,0,22.79,0,5,1,8,7,6
13862,0,0,0,0,0,0,22.72,0,3,1,8,7,6
13952,0,0,0,0,0,0,22.79,1,0,2,8,7,6
14057,0,0,0,0,0,0,22.85,2,0,4,8,7,6
14162,0,0,0,0,0,0,22.98,2,3,3,8,7,6
14267,0,0,0,0,0,0,22.91,3,4,6,8,7,6
14342,0,0,0,0,0,0,22.85,3,1,5,8,7,6
14462,0,0,0,0,0,0,22.79,0,1,0,9,7,6
14567,0,0,0,0,0,0,22.85,1,1,0,9,7,6
14672,0,0,0,0,0,0,22.79,2,0,3,9,7,6
14747,0,0,0,0,0,0,22.91,0,3,1,9,7,6
14867,0,0,0,0,0,0,22.85,1,2,3,9,7,6
14958,0,0,0,0,0,0,23.17,1,1,3,9,7,6
15062,0,0,0,0,0,0,22.66,1,0,1,9,7,6
15152,0,0,0,0,0,0,22.91,0,1,0,9,7,6
15287,0,0,0,0,0,0,22.79,2,1,6,9,7,6
15362,0,0,0,0,0,0,22.91,1,3,6,9,7,6
15467,0,0,0,0,0,0,22.72,1,4,4,8,7,7
15572,0,0,0,0,0,0,22.85,3,3,5,8,7,7
15678,0,0,0,0,0,0,22.79,2,1,4,8,7,7
15767,0,0,0,0,0,0,22.91,1,1,2,8,7,7
15872,0,0,0,0,0,0,22.60,0,1,3,8,7,7
15977,0,0,0,0,0,0,22.79,1,0,3,8,7,7
16082,0,0,0,0,0,0,22.72,0,1,1,8,7,7
16187,0,0,0,0,0,0,22.79,2,1,1,8,7,7
16277,0,0,0,0,0,0,22.66,5,5,1,8,7,7
16382,0,0,0,0,0,0,22.79,3,8,5,8,7,7
16487,0,0,0,0,0,0,22.91,1,2,2,8,8,7
16592,0,0,0,0,0,0,22.66,2,3,6,8,8,7
16698,0,0,0,0,0,0,22.72,4,4,5,8,8,7
16759,0,0,0,0,0,0,22.60,2,7,2,8,8,7
16892,0,0,0,0,0,0,22.98,3,7,0,8,8,7
16997,0,0,0,0,0,0,22.79,5,4,2,8,8,7
17102,3,1,1,0,0,0,22.85,26,7,18,8,8,7
17162,0,1,0,0,0,0,22.85,16,9,16,8,8,7
17312,1,1,3,0,0,0,22.98,8,5,34,8,8,7
17373,1,0,2,0,1,0,22.98,17,7,49,8,8,7
