id_session,time_session,condition_charge,duree,frequence_son,frequence_vibration,fichier_son,fichier_vibration,niveau_tension
1,2026-05-21_08:51,A_vide,15,16000,50,son_1.csv,vib_1.csv,0
2,2026-05-21_08:52,A_vide,15,16000,50,son_2.csv,vib_2.csv,10
3,2026-05-21_08:53,A_vide,15,16000,50,son_3.csv,vib_3.csv,20
5,2026-05-21_09:01,A_vide,15,16000,50,son_5.csv,vib_5.csv,30
6,2026-05-21_09:01,A_vide,15,16000,50,son_6.csv,vib_6.csv,40
7,2026-05-21_09:02,A_vide,15,16000,50,son_7.csv,vib_7.csv,50
8,2026-05-21_09:02,A_vide,15,16000,50,son_8.csv,vib_8.csv,50
9,2026-05-21_09:03,A_vide,15,16000,50,son_9.csv,vib_9.csv,60
10,2026-05-21_09:03,A_vide,15,16000,50,son_10.csv,vib_10.csv,70
11,2026-05-21_09:04,A_vide,15,16000,50,son_11.csv,vib_11.csv,80
12,2026-05-21_09:04,A_vide,15,16000,50,son_12.csv,vib_12.csv,90
13,2026-05-21_09:05,A_vide,15,16000,50,son_13.csv,vib_13.csv,90
14,2026-05-21_09:06,A_vide,15,16000,50,son_14.csv,vib_14.csv,100
15,2026-05-21_09:07,A_vide,15,16000,50,son_15.csv,vib_15.csv,100
15,2026-05-21_09:11,B_frein,15,16000,50,son_15.csv,vib_15.csv,0
16,2026-05-21_09:12,B_frein,15,16000,50,son_16.csv,vib_16.csv,10
17,2026-05-21_09:13,B_frein,15,16000,50,son_17.csv,vib_17.csv,20
18,2026-05-21_09:14,B_frein,15,16000,50,son_18.csv,vib_18.csv,30
19,2026-05-21_09:14,B_frein,15,16000,50,son_19.csv,vib_19.csv,40
20,2026-05-21_09:15,B_frein,15,16000,50,son_20.csv,vib_20.csv,50
21,2026-05-21_09:16,B_frein,15,16000,50,son_21.csv,vib_21.csv,60
22,2026-05-21_09:17,B_frein,15,16000,50,son_22.csv,vib_22.csv,70
23,2026-05-21_09:18,B_frein,15,16000,50,son_23.csv,vib_23.csv,80
24,2026-05-21_09:19,B_frein,15,16000,50,son_24.csv,vib_24.csv,90
25,2026-05-21_09:20,B_frein,15,16000,50,son_25.csv,vib_25.csv,100
26,2026-05-21_09:26,B_frein,15,16000,50,son_26.csv,vib_26.csv,90
27,2026-05-21_09:28,A_vide,15,16000,50,son_27.csv,vib_27.csv,80
28,2026-05-21_09:29,B_frein,15,16000,50,son_28.csv,vib_28.csv,70
29,2026-05-21_09:29,A_vide,15,16000,50,son_29.csv,vib_29.csv,60
30,2026-05-21_09:30,B_frein,15,16000,50,son_30.csv,vib_30.csv,50
31,2026-05-21_09:31,A_vide,15,16000,50,son_31.csv,vib_31.csv,40
32,2026-05-21_09:32,B_frein,15,16000,50,son_32.csv,vib_32.csv,30
33,2026-05-21_09:33,A_vide,15,16000,50,son_33.csv,vib_33.csv,20
34,2026-05-21_09:34,B_frein,15,16000,50,son_34.csv,vib_34.csv,10
35,2026-05-21_09:35,A_vide,15,16000,50,son_35.csv,vib_35.csv,0
36,2026-05-21_09:36,B_frein,15,16000,50,son_36.csv,vib_36.csv,0
37,2026-05-21_09:38,A_vide,15,16000,50,son_37.csv,vib_37.csv,10
38,2026-05-21_09:39,B_frein,15,16000,50,son_38.csv,vib_38.csv,20
39,2026-05-21_09:39,A_vide,15,16000,50,son_39.csv,vib_39.csv,30
40,2026-05-21_09:40,B_frein,15,16000,50,son_40.csv,vib_40.csv,40
41,2026-05-21_09:41,A_vide,15,16000,50,son_41.csv,vib_41.csv,50
42,2026-05-21_09:42,B_frein,15,16000,50,son_42.csv,vib_42.csv,60
43,2026-05-21_09:43,A_vide,15,16000,50,son_43.csv,vib_43.csv,70
44,2026-05-21_09:45,B_frein,15,16000,50,son_44.csv,vib_44.csv,80
45,2026-05-21_09:46,A_vide,15,16000,50,son_45.csv,vib_45.csv,90
46,2026-05-21_09:47,B_frein,15,16000,50,son_46.csv,vib_46.csv,100
