Temps,Amplitude
1343031.0000,0
1343031.0625,0
1343031.1250,0
1343031.1875,0
1343031.2500,0
1343031.3125,0
1343031.3750,0
1343031.4375,0
1343031.5000,0
1343031.5625,0
1343031.6250,0
1343031.6875,0
1343031.7500,0
1343031.8125,0
1343031.8750,0
1343031.9375,0
1343032.0000,0
1343032.0625,0
1343032.1250,0
1343032.1875,0
1343032.2500,0
1343032.3125,0
1343032.3750,0
1343032.4375,0
1343032.5000,0
1343032.5625,0
1343032.6250,0
1343032.6875,0
1343032.7500,0
1343032.8125,0
1343032.8750,0
1343032.9375,0
1343033.0000,0
1343033.0625,0
1343033.1250,0
1343033.1875,0
1343033.2500,0
1343033.3125,0
1343033.3750,0
1343033.4375,0
1343033.5000,0
1343033.5625,0
1343033.6250,0
1343033.6875,0
1343033.7500,0
1343033.8125,0
1343033.8750,0
1343033.9375,0
1343034.0000,0
1343034.0625,0
1343034.1250,0
1343034.1875,0
1343034.2500,0
1343034.3125,0
1343034.3750,0
1343034.4375,0
1343034.5000,0
1343034.5625,0
1343034.6250,0
1343034.6875,0
1343034.7500,0
1343034.8125,0
1343034.8750,0
1343034.9375,0
1343035.0000,0
1343035.0625,0
1343035.1250,0
1343035.1875,0
1343035.2500,0
1343035.3125,0
1343035.3750,0
1343035.4375,0
1343035.5000,0
1343035.5625,0
1343035.6250,0
1343035.6875,0
1343035.7500,0
1343035.8125,0
1343035.8750,0
1343035.9375,0
1343036.0000,0
1343036.0625,0
1343036.1250,0
1343036.1875,0
1343036.2500,0
1343036.3125,0
1343036.3750,0
1343036.4375,0
1343036.5000,0
1343036.5625,0
1343036.6250,0
1343036.6875,0
1343036.7500,0
1343036.8125,0
1343036.8750,0
1343036.9375,0
1343037.0000,0
1343037.0625,0
1343037.1250,0
1343037.1875,0
1343037.2500,0
1343037.3125,0
1343037.3750,0
1343037.4375,0
1343037.5000,0
1343037.5625,0
1343037.6250,0
1343037.6875,0
1343037.7500,0
1343037.8125,0
1343037.8750,0
1343037.9375,0
1343038.0000,0
1343038.0625,0
1343038.1250,0
1343038.1875,0
1343038.2500,0
1343038.3125,0
1343038.3750,0
1343038.4375,0
1343038.5000,0
1343038.5625,0
1343038.6250,0
1343038.6875,0
1343038.7500,0
1343038.8125,0
1343038.8750,0
1343038.9375,0
1343033.0000,0
1343033.0625,0
1343033.1250,0
1343033.1875,0
1343033.2500,0
1343033.3125,0
1343033.3750,0
1343033.4375,0
1343033.5000,0
1343033.5625,0
1343033.6250,0
1343033.6875,0
1343033.7500,0
1343033.8125,0
1343033.8750,0
1343033.9375,0
1343034.0000,0
1343034.0625,0
1343034.1250,0
1343034.1875,0
1343034.2500,0
1343034.3125,0
1343034.3750,0
1343034.4375,0
1343034.5000,0
1343034.5625,0
1343034.6250,0
1343034.6875,0
1343034.7500,0
1343034.8125,0
1343034.8750,0
1343034.9375,0
1343035.0000,0
1343035.0625,0
1343035.1250,0
1343035.1875,0
1343035.2500,0
1343035.3125,0
1343035.3750,0
1343035.4375,0
1343035.5000,0
1343035.5625,0
1343035.6250,0
1343035.6875,0
1343035.7500,0
1343035.8125,0
1343035.8750,0
1343035.9375,0
1343036.0000,0
1343036.0625,0
1343036.1250,0
1343036.1875,0
1343036.2500,0
1343036.3125,0
1343036.3750,0
1343036.4375,0
1343036.5000,0
1343036.5625,0
1343036.6250,0
1343036.6875,0
1343036.7500,0
1343036.8125,0
1343036.8750,0
1343036.9375,0
1343037.0000,0
1343037.0625,0
1343037.1250,0
1343037.1875,0
1343037.2500,0
1343037.3125,0
1343037.3750,0
1343037.4375,0
1343037.5000,0
1343037.5625,0
1343037.6250,0
1343037.6875,0
1343037.7500,0
1343037.8125,0
1343037.8750,0
1343037.9375,0
1343038.0000,0
1343038.0625,0
1343038.1250,0
1343038.1875,0
1343038.2500,0
1343038.3125,0
1343038.3750,0
1343038.4375,0
1343038.5000,0
1343038.5625,0
1343038.6250,0
1343038.6875,0
1343038.7500,0
1343038.8125,0
1343038.8750,0
1343038.9375,0
1343039.0000,0
1343039.0625,0
1343039.1250,0
1343039.1875,0
1343039.2500,0
1343039.3125,0
1343039.3750,0
1343039.4375,0
1343039.5000,0
1343039.5625,0
1343039.6250,0
1343039.6875,0
1343039.7500,0
1343039.8125,0
1343039.8750,0
1343039.9375,0
1343040.0000,0
1343040.0625,0
1343040.1250,0
1343040.1875,0
1343040.2500,0
1343040.3125,0
1343040.3750,0
1343040.4375,0
1343040.5000,0
1343040.5625,0
1343040.6250,0
1343040.6875,0
1343040.7500,0
1343040.8125,0
1343040.8750,0
1343040.9375,0
1343034.0000,0
1343034.0625,0
1343034.1250,0
1343034.1875,0
1343034.2500,0
1343034.3125,0
1343034.3750,0
1343034.4375,0
1343034.5000,0
1343034.5625,0
1343034.6250,0
1343034.6875,0
1343034.7500,0
1343034.8125,0
1343034.8750,0
1343034.9375,0
1343035.0000,0
1343035.0625,0
1343035.1250,0
1343035.1875,0
1343035.2500,0
1343035.3125,0
1343035.3750,0
1343035.4375,0
1343035.5000,0
1343035.5625,0
1343035.6250,0
1343035.6875,0
1343035.7500,0
1343035.8125,0
1343035.8750,0
1343035.9375,0
1343036.0000,0
1343036.0625,0
1343036.1250,0
1343036.1875,0
1343036.2500,0
1343036.3125,0
1343036.3750,0
1343036.4375,0
1343036.5000,0
1343036.5625,0
1343036.6250,0
1343036.6875,0
1343036.7500,0
1343036.8125,0
1343036.8750,0
1343036.9375,0
1343037.0000,0
1343037.0625,0
1343037.1250,0
1343037.1875,0
1343037.2500,0
1343037.3125,0
1343037.3750,0
1343037.4375,0
1343037.5000,0
1343037.5625,0
1343037.6250,0
1343037.6875,0
1343037.7500,0
1343037.8125,0
1343037.8750,0
1343037.9375,0
1343038.0000,0
1343038.0625,0
1343038.1250,0
1343038.1875,0
1343038.2500,0
1343038.3125,0
1343038.3750,0
1343038.4375,0
1343038.5000,0
1343038.5625,0
1343038.6250,0
1343038.6875,0
1343038.7500,0
1343038.8125,0
1343038.8750,0
1343038.9375,0
1343039.0000,0
1343039.0625,0
1343039.1250,0
1343039.1875,0
1343039.2500,0
1343039.3125,0
1343039.3750,0
1343039.4375,0
1343039.5000,0
1343039.5625,0
1343039.6250,0
1343039.6875,0
1343039.7500,0
1343039.8125,0
1343039.8750,0
1343039.9375,0
1343040.0000,0
1343040.0625,0
1343040.1250,0
1343040.1875,0
1343040.2500,0
1343040.3125,0
1343040.3750,0
1343040.4375,0
1343040.5000,0
1343040.5625,0
1343040.6250,0
1343040.6875,0
1343040.7500,0
1343040.8125,0
1343040.8750,0
1343040.9375,0
1343041.0000,0
1343041.0625,0
1343041.1250,0
1343041.1875,0
1343041.2500,0
1343041.3125,0
1343041.3750,0
1343041.4375,0
1343041.5000,0
1343041.5625,0
1343041.6250,0
1343041.6875,0
1343041.7500,0
1343041.8125,0
1343041.8750,0
1343041.9375,0
1343035.0000,0
1343035.0625,0
1343035.1250,0
1343035.1875,0
1343035.2500,0
1343035.3125,0
1343035.3750,0
1343035.4375,0
1343035.5000,0
1343035.5625,0
1343035.6250,0
1343035.6875,0
1343035.7500,0
1343035.8125,0
1343035.8750,0
1343035.9375,0
1343036.0000,0
1343036.0625,0
1343036.1250,0
1343036.1875,0
1343036.2500,0
1343036.3125,0
1343036.3750,0
1343036.4375,0
1343036.5000,0
1343036.5625,0
1343036.6250,0
1343036.6875,0
1343036.7500,0
1343036.8125,0
1343036.8750,0
1343036.9375,0
1343037.0000,0
1343037.0625,0
1343037.1250,0
1343037.1875,0
1343037.2500,0
1343037.3125,0
1343037.3750,0
1343037.4375,0
1343037.5000,0
1343037.5625,0
1343037.6250,0
1343037.6875,0
1343037.7500,0
1343037.8125,0
1343037.8750,0
1343037.9375,0
1343038.0000,0
1343038.0625,0
1343038.1250,0
1343038.1875,0
1343038.2500,0
1343038.3125,0
1343038.3750,0
1343038.4375,0
1343038.5000,0
1343038.5625,0
1343038.6250,0
1343038.6875,0
1343038.7500,0
1343038.8125,0
1343038.8750,0
1343038.9375,0
1343039.0000,0
1343039.0625,0
1343039.1250,0
1343039.1875,0
1343039.2500,0
1343039.3125,0
1343039.3750,0
1343039.4375,0
1343039.5000,0
1343039.5625,0
1343039.6250,0
1343039.6875,0
1343039.7500,0
1343039.8125,0
1343039.8750,0
1343039.9375,0
1343040.0000,0
1343040.0625,0
1343040.1250,0
1343040.1875,0
1343040.2500,0
1343040.3125,0
1343040.3750,-506
1343040.4375,-1266
1343040.5000,-2044
1343040.5625,-2592
1343040.6250,-2791
1343040.6875,-2700
1343040.7500,-2483
1343040.8125,-2054
1343040.8750,-1503
1343040.9375,-1295
1343041.0000,-1406
1343041.0625,-1484
1343041.1250,-1682
1343041.1875,-1835
1343041.2500,-1625
1343041.3125,-1238
1343041.3750,-886
1343041.4375,-671
1343041.5000,-560
1343041.5625,-469
1343041.6250,-252
1343041.6875,-289
1343041.7500,-773
1343041.8125,-1441
1343041.8750,-2070
1343041.9375,-2683
1343042.0000,-3053
1343042.0625,-3036
1343042.1250,-2772
1343042.1875,-2541
1343042.2500,-2453
