Timestamp,VX,VY,VZ,ADX,ADY,ADZ,TEMP,DX,DY,DZ,HZX,HZY,HZZ
1281213,271,1,8731,700,1991,65487,655.02,65532,7,1,0,1,0
1281288,271,1,8731,800,2080,140,0.47,65531,65531,0,0,0,0
1281408,271,1,8731,900,2023,73,653.81,65527,65533,1,0,1,0
1281498,271,1,8987,0,2150,116,1.16,7,2,4,0,0,0
1281604,271,1,8987,100,1946,7,0.93,3,65525,5,0,65535,0
1281693,271,1,8987,200,2116,65299,0.08,65533,8,65525,0,0,0
1281798,271,1,8987,300,2085,65461,654.26,65534,65532,4,0,0,0
1281903,271,1,8987,400,2087,143,1.49,1,65533,1,0,0,0
1282008,271,1,8987,500,1948,36,1.09,0,12,65532,0,1,0
1282113,271,1,8987,600,2076,65507,0.26,0,65535,65532,0,0,0
1282203,271,1,8987,700,1949,65528,0.66,0,65531,8,0,2,0
1282309,271,1,8987,800,2050,15,0.11,0,11,3,0,0,0
1282413,271,1,8987,900,2009,31,0.63,65533,65529,65533,0,0,65535
1282518,271,1,9243,0,2135,18,654.55,0,4,65529,0,0,0
1282623,271,1,9243,100,1964,270,654.81,65534,4,5,0,0,0
1282685,271,1,9243,200,2149,44,655.22,65530,65532,4,0,0,0
1282818,271,1,9243,300,1972,180,0.47,8,9,65527,0,0,0
1282923,271,1,9243,400,2064,65517,0.84,6,65535,0,0,65534,0
1283028,271,1,9243,500,2058,65258,0.34,2,65533,6,0,0,0
1283088,271,1,9243,600,2103,37,655.04,0,13,65531,0,1,0
1283238,271,1,9243,700,2023,65330,0.47,65534,65534,0,0,0,0
1283301,271,1,9243,800,2081,65348,0.84,0,0,7,0,0,0
1283433,271,1,9243,900,2018,65430,0.68,3,9,1,0,0,65535
1283493,271,1,9499,0,2095,65363,654.93,65528,65529,0,0,0,0
1283643,271,1,9499,100,1963,85,0.04,2,4,65532,0,0,0
1283703,271,1,9499,200,2158,190,0.46,5,4,6,0,0,0
1283853,271,1,9499,300,1945,65223,654.90,65524,65532,3,0,1,0
1283898,271,1,9499,400,2298,65321,654.99,0,6,65523,0,0,0
1284048,271,1,9499,500,2015,36,654.39,65535,65530,0,0,65535,0
1284093,271,1,9499,600,2124,205,1.19,0,65530,7,0,1,0
1284258,271,1,9499,700,2074,107,0.12,4,10,65524,0,0,0
1284303,271,1,9499,800,2086,226,0.00,65530,65532,4,0,0,0
1284423,271,1,9499,900,2001,65467,0.56,65532,65533,6,0,0,0
1284498,271,1,9755,0,2102,1,0.56,65535,5,2,0,1,0
1284618,271,1,9755,100,2050,65403,0.00,65535,65527,65533,0,1,0
1284708,271,1,9755,200,1960,196,654.27,65534,5,65527,0,1,0
1284828,271,1,9755,300,2037,80,0.65,2,2,7,0,65535,0
1284903,271,1,9755,400,2000,65498,655.06,0,65530,0,0,0,0
1285023,271,1,9755,500,2091,65475,0.65,7,13,65526,0,0,0
1285113,271,1,9755,600,1986,26,654.71,65535,0,2,0,65534,0
1285233,271,1,9755,700,2138,28,0.74,3,65529,15,0,1,0
1285308,271,1,9755,800,1949,65307,655.18,3,14,65531,0,0,0
1285428,271,1,9755,900,2131,65487,0.01,65535,65530,65533,0,0,65535
1285503,271,1,10011,0,2068,65261,0.08,65535,65535,1,0,0,1
1285623,271,1,10011,100,2035,65479,0.83,3,7,3,0,0,65535
1285713,271,1,10011,200,2180,65401,654.83,65535,65531,0,0,1,0
1285833,271,1,10011,300,1926,9,0.60,0,3,65529,0,65535,0
1285923,271,1,10011,400,2104,41,0.49,3,0,6,0,0,0
1286028,271,1,10011,500,1954,65489,655.02,65534,65531,65535,0,0,0
1286118,271,1,10011,600,2076,65301,0.12,65531,13,65527,0,1,0
1286238,271,1,10011,700,2048,218,654.56,65532,65534,1,0,0,0
1286313,271,1,10011,800,2050,56,0.52,65529,65532,12,0,1,0
1286433,271,1,10011,900,1913,65350,1.72,4,11,0,0,0,0
1286538,271,1,10267,0,2018,128,1.25,65535,65534,6,0,0,0
1286643,271,1,10267,100,2009,38,654.36,0,0,4,0,0,1
1286718,271,1,10267,200,2047,65450,0.58,0,8,7,0,0,0
1286838,271,1,10267,300,1992,65529,0.42,65530,65530,65533,0,1,0
1286929,271,1,10267,400,2042,65496,0.79,65535,5,65525,0,0,0
1287048,271,1,10267,500,1881,23,2.38,65535,65534,65535,0,0,0
1287123,271,1,10267,600,1990,65349,655.01,65534,65532,0,0,0,0
1287245,271,1,10267,700,2039,65316,0.54,65535,8,65528,0,65535,0
1287333,271,1,10267,800,2016,65392,0.03,0,65532,0,0,65535,0
1287438,271,1,10267,900,2020,0,0.24,65535,65531,11,0,1,0
1287528,271,1,10523,0,2079,65323,0.29,0,12,65532,0,0,0
1287663,271,1,10523,100,2035,65360,1.32,65534,65529,65533,0,0,0
1287738,271,1,10523,200,2006,88,1.07,5,2,0,0,0,0
1287844,271,1,10523,300,2093,65419,655.33,1,6,5,0,1,0
1287949,271,1,10523,400,2045,65526,0.65,0,0,65535,0,0,0
1288053,271,1,10523,500,2061,65417,0.14,65535,8,65522,0,0,0
1288143,271,1,10523,600,1988,65282,0.05,0,0,5,0,65535,0
1288248,271,1,10523,700,2114,65495,0.55,65534,65530,2,0,1,0
1288368,271,1,10523,800,1919,64,0.15,4,11,65530,0,0,0
1288458,271,1,10523,900,2114,24,654.94,0,65532,2,0,0,0
1288564,271,1,10779,0,2076,65362,0.07,3,65535,11,0,0,1
1288670,271,1,10779,100,2052,89,0.90,4,10,2,0,0,0
1288758,271,1,10779,200,2006,65452,655.09,65531,65530,0,0,0,0
1288878,271,1,10779,300,2215,65393,655.34,0,65533,65535,0,0,1
1288968,271,1,10779,400,2021,65438,654.25,3,8,7,0,0,0
1289073,271,1,10779,500,2140,65413,654.84,65530,65529,1,0,0,0
1289133,271,1,10779,600,2046,65495,0.00,65533,6,65527,0,0,0
1289285,271,1,10779,700,2072,65507,0.31,65535,65535,1,0,65535,0
1289374,271,1,10779,800,1922,115,0.59,1,65535,0,0,0,0
1289478,271,1,10779,900,2220,37,655.34,65535,7,65526,0,0,0
1289538,271,1,11035,0,1963,55,655.18,65535,65529,0,0,0,65535
1289688,271,1,11035,100,2253,220,654.00,0,65533,8,0,1,0
1289733,271,1,11035,200,2024,61,654.83,5,12,0,0,0,0
1289885,271,1,11035,300,2088,135,654.81,65531,65529,5,0,0,0
1289943,271,1,11035,400,2070,65300,0.37,0,65534,65530,0,0,1
1290093,271,1,11035,500,2131,322,0.52,3,1,10,0,0,0
1290138,271,1,11035,600,1994,65450,0.99,65535,65527,0,0,0,0
1290258,271,1,11035,700,2150,57,0.26,65535,6,65523,0,65535,0
1290348,271,1,11035,800,2093,65452,654.40,65534,65534,0,0,0,0
1290498,271,1,11035,900,2027,177,0.02,65533,65533,2,0,2,0
1290543,271,1,11291,0,2100,65388,654.61,65534,17,65526,0,0,0
1290663,271,1,11291,100,1945,65373,0.73,65535,65535,65534,0,0,0
1290753,271,1,11291,200,2154,71,0.48,3,65535,6,0,0,1
1290873,271,1,11291,300,1918,65508,0.06,0,5,2,0,0,65535
1290949,271,1,11291,400,2065,65366,0.50,65534,65532,0,0,0,0
1291069,271,1,11291,500,2034,65277,0.64,0,3,65529,0,65535,0
1291158,271,1,11291,600,2105,65384,1.80,1,2,6,0,0,0
1291263,271,1,11291,700,2007,65432,654.94,65533,65528,0,0,0,0
1291353,271,1,11291,800,2190,364,2.09,6,5,65527,0,0,0
1291473,271,1,11291,900,2012,65356,655.25,65535,65533,2,0,65535,65535
1291549,271,1,11547,0,2094,196,0.02,65535,65530,7,0,1,0
1291669,271,1,11547,100,2039,65236,655.10,0,13,65533,0,0,0
1291758,271,1,11547,200,2018,81,0.92,1,65532,65533,0,0,0
1291878,271,1,11547,300,2087,65481,654.82,65529,0,6,0,0,0
1291953,271,1,11547,400,1971,241,0.48,65533,7,1,0,0,0
1292073,271,1,11547,500,2016,65445,1.04,2,65530,0,0,0,0
1292165,271,1,11547,600,2130,154,654.82,0,0,65527,0,0,0
1292285,271,1,11547,700,2038,65433,1.06,3,3,4,0,65535,0
1292359,271,1,11547,800,2005,51,0.54,65535,65529,1,0,0,0
