Timestamp,VX,VY,VZ,ADX,ADY,ADZ,TEMP,DX,DY,DZ,HZX,HZY,HZZ
8059,0,0,0,0,0,0,21.65,0,2,1,2,4,2
8104,0,0,0,0,0,0,21.65,0,0,0,2,4,2
8269,0,0,0,0,0,0,21.46,0,1,0,3,5,6
8314,0,0,0,0,0,0,21.59,2,0,1,3,5,6
8434,0,0,0,0,0,0,21.34,1,1,1,3,5,6
8509,0,0,0,0,0,0,21.40,0,1,3,3,5,6
8629,0,0,0,0,0,0,21.59,3,0,4,3,5,6
8719,0,0,0,0,0,0,21.65,0,0,1,3,5,6
8839,0,0,0,0,0,0,21.59,1,1,2,3,5,6
8914,0,0,0,0,0,0,21.59,1,0,2,3,5,6
9034,0,0,0,0,0,0,21.46,0,1,0,3,5,6
9124,0,0,0,0,0,0,21.46,1,4,0,3,5,6
9244,0,0,0,0,0,0,21.46,0,0,0,6,7,6
9319,0,1,0,0,0,0,21.40,4,9,0,6,7,6
9439,0,0,0,0,0,0,21.46,5,12,4,6,7,6
9514,0,0,0,0,0,0,21.59,3,6,4,6,7,6
9649,0,0,0,0,0,0,21.40,2,0,7,6,7,6
9724,0,0,0,0,0,0,21.40,3,1,1,6,7,6
9844,0,0,0,0,0,0,21.78,4,6,3,6,7,6
9934,0,0,0,0,0,0,21.71,1,9,7,6,7,6
10039,0,0,0,0,0,0,21.59,2,2,3,6,7,6
10129,0,0,0,0,0,0,21.40,1,4,3,6,7,6
10249,0,0,0,0,0,0,21.40,1,4,1,9,6,6
10324,0,0,0,0,0,0,21.65,2,1,2,9,6,6
10444,0,0,0,0,0,0,21.59,0,2,0,9,6,6
10654,0,0,0,0,0,0,21.59,0,0,0,9,6,6
10729,0,0,0,0,0,0,21.65,0,1,1,9,6,6
10849,0,0,0,0,0,0,21.27,0,1,0,9,6,6
10939,0,0,0,0,0,0,21.59,0,0,1,9,6,6
11059,0,0,0,0,0,0,21.40,0,1,0,9,6,6
11134,0,0,0,0,0,0,21.34,0,0,1,9,6,6
11269,0,0,0,0,0,0,21.34,0,0,1,5,7,8
11344,0,0,0,0,0,0,21.59,0,0,1,5,7,8
11449,0,0,0,0,0,0,21.34,0,0,0,5,7,8
11554,0,0,0,0,0,0,21.59,0,0,1,5,7,8
11674,0,0,0,0,0,0,21.40,0,0,0,5,7,8
11749,0,0,0,0,0,0,21.65,0,0,0,5,7,8
11854,0,0,0,0,0,0,21.59,0,0,0,5,7,8
11959,0,0,0,0,0,0,21.34,0,0,0,5,7,8
12064,0,0,0,0,0,0,21.78,0,0,0,5,7,8
12170,0,0,0,0,0,0,21.34,0,0,0,5,7,8
12260,0,0,0,0,0,0,21.34,0,0,0,1,0,3
12364,0,0,0,0,0,0,21.65,0,0,0,1,0,3
12469,0,0,0,0,0,0,21.65,0,0,0,1,0,3
12574,0,0,0,0,0,0,21.27,0,0,0,1,0,3
12679,0,0,0,0,0,0,21.46,0,0,0,1,0,3
12769,0,0,0,0,0,0,21.78,0,0,0,1,0,3
12874,0,0,0,0,0,0,21.46,0,0,0,1,0,3
12979,0,0,0,0,0,0,21.40,0,0,0,1,0,3
13084,0,0,0,0,0,0,21.40,0,0,0,1,0,3
13144,0,0,0,0,0,0,21.78,0,0,0,1,0,3
13294,0,0,0,0,0,0,21.65,0,0,0,0,0,0
13384,0,0,0,0,0,0,21.59,0,0,0,0,0,0
13489,0,0,0,0,0,0,21.65,0,0,0,0,0,0
13549,0,0,0,0,0,0,21.46,0,0,0,0,0,0
13699,0,0,0,0,0,0,21.40,0,0,0,0,0,0
13744,0,0,0,0,0,0,21.65,0,0,0,0,0,0
13866,0,0,0,0,0,0,21.40,0,0,0,0,0,0
13955,0,0,0,0,0,0,21.40,0,0,0,0,0,0
14104,0,0,0,0,0,0,21.40,0,0,0,0,0,0
14149,0,0,0,0,0,0,21.65,0,0,0,0,0,0
14269,0,0,0,0,0,0,21.46,0,0,0,0,0,0
14359,0,0,0,0,0,0,21.40,0,0,0,0,0,0
14481,0,0,0,0,0,0,21.65,0,0,0,0,0,0
14554,0,0,0,0,0,0,21.59,0,0,0,0,0,0
14674,0,0,0,0,0,0,21.46,0,0,0,0,0,0
