id_session,time_session,condition_charge,duree,frequence_son,frequence_vibration,fichier_son,fichier_vibration,niveau_tension
1,2026-05-21_08:51,A_vide,15,16000,50,son_1.csv,vib_1.csv,0
2,2026-05-21_08:52,A_vide,15,16000,50,son_2.csv,vib_2.csv,10
3,2026-05-21_08:53,A_vide,15,16000,50,son_3.csv,vib_3.csv,20
5,2026-05-21_09:01,A_vide,15,16000,50,son_5.csv,vib_5.csv,30
6,2026-05-21_09:01,A_vide,15,16000,50,son_6.csv,vib_6.csv,40
7,2026-05-21_09:02,A_vide,15,16000,50,son_7.csv,vib_7.csv,50
8,2026-05-21_09:02,A_vide,15,16000,50,son_8.csv,vib_8.csv,50
9,2026-05-21_09:03,A_vide,15,16000,50,son_9.csv,vib_9.csv,60
11,2026-05-21_09:04,A_vide,15,16000,50,son_11.csv,vib_11.csv,80
13,2026-05-21_09:05,A_vide,15,16000,50,son_13.csv,vib_13.csv,90
14,2026-05-21_09:06,A_vide,15,16000,50,son_14.csv,vib_14.csv,100
16,2026-05-21_09:12,B_frein,15,16000,50,son_16.csv,vib_16.csv,10
17,2026-05-21_09:13,B_frein,15,16000,50,son_17.csv,vib_17.csv,20
18,2026-05-21_09:14,B_frein,15,16000,50,son_18.csv,vib_18.csv,30
19,2026-05-21_09:14,B_frein,15,16000,50,son_19.csv,vib_19.csv,40
20,2026-05-21_09:15,B_frein,15,16000,50,son_20.csv,vib_20.csv,50
22,2026-05-21_09:17,B_frein,15,16000,50,son_22.csv,vib_22.csv,70
23,2026-05-21_09:18,B_frein,15,16000,50,son_23.csv,vib_23.csv,80
24,2026-05-21_09:19,B_frein,15,16000,50,son_24.csv,vib_24.csv,90
25,2026-05-21_09:20,B_frein,15,16000,50,son_25.csv,vib_25.csv,100
26,2026-05-21_09:26,B_frein,15,16000,50,son_26.csv,vib_26.csv,90
28,2026-05-21_09:29,B_frein,15,16000,50,son_28.csv,vib_28.csv,70
29,2026-05-21_09:29,A_vide,15,16000,50,son_29.csv,vib_29.csv,60
30,2026-05-21_09:30,B_frein,15,16000,50,son_30.csv,vib_30.csv,50
32,2026-05-21_09:32,B_frein,15,16000,50,son_32.csv,vib_32.csv,30
33,2026-05-21_09:33,A_vide,15,16000,50,son_33.csv,vib_33.csv,20
35,2026-05-21_09:35,A_vide,15,16000,50,son_35.csv,vib_35.csv,0
36,2026-05-21_09:36,B_frein,15,16000,50,son_36.csv,vib_36.csv,0
37,2026-05-21_09:38,A_vide,15,16000,50,son_37.csv,vib_37.csv,10
38,2026-05-21_09:39,B_frein,15,16000,50,son_38.csv,vib_38.csv,20
39,2026-05-21_09:39,A_vide,15,16000,50,son_39.csv,vib_39.csv,30
41,2026-05-21_09:41,A_vide,15,16000,50,son_41.csv,vib_41.csv,50
42,2026-05-21_09:42,B_frein,15,16000,50,son_42.csv,vib_42.csv,60
43,2026-05-21_09:43,A_vide,15,16000,50,son_43.csv,vib_43.csv,70
45,2026-05-21_09:46,A_vide,15,16000,50,son_45.csv,vib_45.csv,90
47,2026-05-21_13:35,A_vide,15,16000,50,son_47.csv,vib_47.csv,0
48,2026-05-21_13:36,B_frein,15,16000,50,son_48.csv,vib_48.csv,0
49,2026-05-21_13:37,A_vide,15,16000,50,son_49.csv,vib_49.csv,10
50,2026-05-21_13:37,B_frein,15,16000,50,son_50.csv,vib_50.csv,10
51,2026-05-21_13:38,A_vide,15,16000,50,son_51.csv,vib_51.csv,20
52,2026-05-21_13:39,B_frein,15,16000,50,son_52.csv,vib_52.csv,20
54,2026-05-21_13:40,A_vide,15,16000,50,son_54.csv,vib_54.csv,30
55,2026-05-21_13:40,B_frein,15,16000,50,son_55.csv,vib_55.csv,30
56,2026-05-21_13:41,A_vide,15,16000,50,son_56.csv,vib_56.csv,40
57,2026-05-21_13:41,B_frein,15,16000,50,son_57.csv,vib_57.csv,40
58,2026-05-21_13:42,A_vide,15,16000,50,son_58.csv,vib_58.csv,50
59,2026-05-21_13:43,B_frein,15,16000,50,son_59.csv,vib_59.csv,50
60,2026-05-21_13:44,A_vide,15,16000,50,son_60.csv,vib_60.csv,60
61,2026-05-21_13:44,B_frein,15,16000,50,son_61.csv,vib_61.csv,60
62,2026-05-21_13:45,A_vide,15,16000,50,son_62.csv,vib_62.csv,70
63,2026-05-21_13:46,B_frein,15,16000,50,son_63.csv,vib_63.csv,70
64,2026-05-21_13:47,B_frein,15,16000,50,son_64.csv,vib_64.csv,70
65,2026-05-21_13:47,A_vide,15,16000,50,son_65.csv,vib_65.csv,80
66,2026-05-21_13:48,B_frein,15,16000,50,son_66.csv,vib_66.csv,80
67,2026-05-21_13:49,A_vide,15,16000,50,son_67.csv,vib_67.csv,90
68,2026-05-21_13:50,B_frein,15,16000,50,son_68.csv,vib_68.csv,90
70,2026-05-21_13:52,B_frein,15,16000,50,son_70.csv,vib_70.csv,100
